ID,Education,Marital_Status,Income,NumDealsPurchases,Age,Kids,Days_Enrolled,Total_Spend,CouponsAccepted,Total_Purchases,Recency_
6260,Master,Relationship,82384.0,1,"(60, 70]",0,587,1957,2,26,3.9285714285714284
10383,Graduation,Single,70287.0,1,"(50, 60]",0,453,1093,1,20,2.142857142857143
7437,Graduation,Single,27938.0,1,"(30,40]",1,62,29,0,5,2.2142857142857144
8557,Graduation,Single,52720.37365591398,2,"(40,50]",1,377,46,0,5,4.071428571428571
8375,PhD,Relationship,55954.0,3,"(50, 60]",1,118,518,0,16,4.5
6853,Master,Single,75777.0,1,"(40,50]",0,360,1438,3,20,0.8571428571428571
3076,Graduation,Relationship,66653.0,4,"(40,50]",2,660,612,0,18,1.2857142857142858
1012,Graduation,Single,61823.0,4,70,1,496,884,0,20,1.8571428571428572
6518,PhD,Single,67680.0,1,70,1,383,606,0,18,0.5714285714285714
4137,Graduation,Relationship,70666.0,1,70,0,205,1076,0,15,2.0714285714285716
8082,Graduation,Relationship,25721.0,1,"(50, 60]",1,404,34,1,4,5.357142857142857
1386,Graduation,Relationship,32474.0,1,"(50, 60]",2,49,11,0,3,0.0
9369,Master,Single,88194.0,1,"(40,50]",1,102,1274,3,31,1.3571428571428572
4477,Graduation,Relationship,69096.0,1,"(60, 70]",1,275,653,0,17,0.2857142857142857
1357,Graduation,Relationship,74854.0,7,"(50, 60]",3,447,1562,0,12,6.428571428571429
1402,Master,Relationship,66991.0,3,"(60, 70]",0,656,1253,0,18,0.07142857142857142
10629,Master,Relationship,47633.19,3,"(50, 60]",1,653,109,0,6,1.7857142857142858
6312,Graduation,Relationship,65031.0,4,"(60, 70]",1,469,863,0,26,2.0714285714285716
8132,PhD,Relationship,60631.0,5,"(40,50]",2,450,661,1,19,6.285714285714286
1050,Graduation,Relationship,28332.0,1,70,0,60,65,0,7,4.142857142857143
5846,Graduation,Single,40246.0,1,"(40,50]",1,557,13,0,3,4.857142857142857
1859,Master,Relationship,75251.0,1,"(50, 60]",0,671,1890,1,18,2.4285714285714284
7503,Graduation,Single,75825.0,0,"(40,50]",0,625,2209,2,22,2.857142857142857
10401,Master,Relationship,26326.0,1,"(40,50]",0,298,18,0,3,0.8571428571428571
1618,Graduation,Relationship,56046.0,2,"(50, 60]",0,543,692,2,19,0.6428571428571429
3332,Graduation,Single,29760.0,4,"(30,40]",1,669,165,0,8,6.214285714285714
2261,Graduation,Relationship,26304.0,1,"(50, 60]",1,371,16,0,3,0.35714285714285715
5346,Master,Relationship,23559.0,3,"(50, 60]",1,361,79,0,6,6.214285714285714
4119,Master,Relationship,38620.0,1,"(60, 70]",0,414,318,0,10,4.0
535,Graduation,Single,81361.0,1,"(30,40]",0,124,778,0,26,1.2857142857142858
5268,Graduation,Relationship,29440.0,2,"(60, 70]",2,322,56,0,5,6.785714285714286
273,Master,Relationship,36138.0,5,"(50, 60]",2,348,151,1,8,3.4285714285714284
4452,Graduation,Single,50388.0,4,"(60, 70]",1,32,372,3,13,0.21428571428571427
8504,Graduation,Relationship,79593.0,1,"(50, 60]",0,48,1366,1,18,5.0
771,Graduation,Relationship,54178.0,1,"(50, 60]",1,159,194,0,9,5.642857142857143
8996,PhD,Relationship,56145.31392931393,12,"(60, 70]",3,587,603,0,17,0.2857142857142857
9235,Graduation,Single,52720.37365591398,1,"(60, 70]",2,33,18,0,3,3.2142857142857144
5798,Master,Relationship,52917.53424657534,1,"(50, 60]",0,218,985,0,14,6.214285714285714
11178,Master,Single,42394.0,1,"(50, 60]",1,98,32,0,4,4.928571428571429
2230,PhD,Relationship,23626.0,3,"(50, 60]",1,36,43,0,7,6.0
7516,Graduation,Relationship,30096.0,1,"(40,50]",1,38,45,0,5,2.142857142857143
7247,Graduation,Single,47916.0,5,"(60, 70]",1,584,606,1,17,5.142857142857143
11100,Graduation,Single,51813.0,2,"(50, 60]",2,444,63,0,5,2.642857142857143
4646,Master,Relationship,78497.0,1,70,0,210,978,1,24,3.142857142857143
3037,PhD,Relationship,50150.0,2,"(40,50]",0,374,410,0,14,2.2857142857142856
1473,Master,Single,47823.0,2,"(60, 70]",1,341,72,0,5,0.0
1016,PhD,Single,34554.0,2,"(60, 70]",1,91,55,0,5,3.0714285714285716
4518,Graduation,Relationship,85693.0,2,"(40,50]",1,435,1169,0,25,4.214285714285714
9370,PhD,Relationship,65846.0,1,70,0,408,1120,0,15,4.857142857142857
8908,Graduation,Relationship,87195.0,1,"(60, 70]",0,52,1097,1,19,2.5
8373,Basic,Relationship,24594.0,1,"(40,50]",1,201,29,0,4,6.714285714285714
7533,Graduation,Relationship,49096.0,4,"(50, 60]",2,278,187,0,9,1.0714285714285714
2683,Graduation,Relationship,52413.0,4,"(50, 60]",2,512,910,0,22,4.0
3629,Graduation,Single,38557.0,2,"(40,50]",1,557,145,0,7,1.2142857142857142
10991,Master,Relationship,89058.0,1,"(60, 70]",0,569,850,0,13,1.2857142857142858
5077,Graduation,Relationship,77298.0,1,"(40,50]",1,239,969,0,23,3.2857142857142856
7431,PhD,Single,68126.0,1,"(30,40]",0,596,1820,2,16,2.857142857142857
3267,Master,Relationship,57288.0,3,"(60, 70]",1,4,608,1,17,1.9285714285714286
999,Graduation,Single,86037.0,1,"(30,40]",0,543,730,3,24,6.785714285714286
9215,PhD,Relationship,43974.0,5,"(40,50]",1,564,551,0,16,1.3571428571428572
2286,Graduation,Single,50785.0,2,"(60, 70]",2,292,114,0,6,1.9285714285714286
1592,Graduation,Relationship,90765.0,0,"(50, 60]",0,156,1724,2,15,1.7857142857142858
367,Master,Relationship,36550.0,5,"(40,50]",1,495,577,0,15,5.285714285714286
5234,Master,Relationship,30753.0,2,"(50, 60]",2,353,81,0,5,6.071428571428571
9862,Graduation,Relationship,21918.0,2,"(50, 60]",1,227,33,0,5,2.642857142857143
9805,Master,Relationship,56129.0,4,70,1,374,660,0,18,4.642857142857143
6205,Master,Single,32557.0,3,"(50, 60]",1,125,80,1,6,0.9285714285714286
8442,Master,Relationship,19510.0,2,"(30,40]",2,298,30,0,4,4.5
7386,Graduation,Single,30992.0,1,"(40,50]",1,433,43,0,4,5.928571428571429
7215,Graduation,Single,101970.0,0,"(40,50]",0,474,1135,4,27,4.928571428571429
1491,Master,Relationship,71488.0,2,"(50, 60]",0,496,559,0,14,6.214285714285714
11071,Graduation,Single,79607.0,1,"(30,40]",0,434,1923,1,15,2.642857142857143
3381,Master,Relationship,54348.0,2,70,2,21,90,0,6,3.642857142857143
8268,PhD,Relationship,56145.31392931393,3,"(60, 70]",1,353,404,0,14,1.6428571428571428
11051,PhD,Relationship,77376.0,4,"(60, 70]",2,50,661,0,19,5.142857142857143
8026,Graduation,Relationship,62998.0,5,70,1,272,463,0,14,0.7142857142857143
433,Master,Single,61331.0,5,"(60, 70]",2,476,632,0,18,3.0
9597,Graduation,Relationship,73448.0,1,"(50, 60]",0,139,725,0,18,0.7142857142857143
1295,Graduation,Relationship,52720.37365591398,1,"(60, 70]",1,322,725,0,18,6.857142857142857
5290,PhD,Relationship,41551.0,5,"(50, 60]",2,319,279,0,11,3.642857142857143
1685,PhD,Relationship,62981.0,1,"(50, 60]",0,469,1482,1,22,1.5
5342,Basic,Single,9548.0,2,"(40,50]",1,690,29,0,4,2.2142857142857144
9579,PhD,Relationship,33762.0,3,"(60, 70]",3,357,106,0,6,4.357142857142857
7660,PhD,Single,35860.0,2,"(50, 60]",2,41,49,2,4,2.642857142857143
1461,PhD,Single,36921.0,2,"(50, 60]",2,336,38,0,5,5.285714285714286
821,Master,Single,92859.0,1,"(30,40]",0,618,2077,0,21,3.2857142857142856
11084,Master,Relationship,65104.0,2,"(40,50]",1,227,1053,1,15,0.2857142857142857
8690,Graduation,Relationship,86111.0,1,"(60, 70]",0,436,1385,0,22,5.214285714285714
2937,PhD,Single,68352.0,3,"(40,50]",1,305,871,0,22,3.357142857142857
9701,Graduation,Relationship,41883.0,3,"(30,40]",1,467,312,0,9,0.9285714285714286
9949,Graduation,Relationship,59809.0,3,"(40,50]",2,619,877,0,12,2.5714285714285716
10837,Graduation,Relationship,23957.0,1,"(40,50]",1,609,68,1,5,3.357142857142857
3120,Graduation,Relationship,38547.0,1,"(40,50]",1,305,22,0,3,3.5
5885,Master,Relationship,35688.0,7,"(50, 60]",3,676,211,0,9,6.714285714285714
4050,Master,Relationship,49605.0,1,"(50, 60]",0,8,127,0,7,4.642857142857143
3830,Master,Relationship,59354.0,1,70,2,66,459,0,15,4.214285714285714
7987,Graduation,Relationship,65747.0,4,"(50, 60]",1,114,460,1,15,6.857142857142857
7798,Master,Relationship,46344.0,4,"(50, 60]",1,562,429,0,13,2.0
92,Graduation,Single,34176.0,4,"(30,40]",1,48,89,0,7,0.8571428571428571
7055,PhD,Relationship,61010.0,2,70,1,628,1021,0,24,4.071428571428571
10240,Graduation,Relationship,69372.0,1,70,0,495,1381,3,20,0.7142857142857143
3025,Graduation,Single,49967.0,3,"(60, 70]",1,356,306,0,12,0.2857142857142857
9283,Graduation,Single,60199.0,1,"(40,50]",3,290,18,0,3,3.5
9970,Graduation,Relationship,55375.0,1,"(40,50]",1,255,162,0,8,0.21428571428571427
2730,Graduation,Single,80317.0,1,"(60, 70]",0,313,1231,0,17,4.571428571428571
2795,Master,Single,30523.0,1,"(60, 70]",3,363,13,0,3,0.0
9260,PhD,Relationship,70356.0,2,70,0,601,1706,0,25,1.4285714285714286
8182,Graduation,Relationship,23228.0,4,"(30,40]",1,175,121,0,7,6.5
10095,PhD,Single,74165.0,1,"(40,50]",0,424,1293,0,19,0.6428571428571429
8475,PhD,Relationship,157243.0,15,"(50, 60]",1,120,1608,0,22,7.0
4370,Graduation,Relationship,43482.0,3,"(50, 60]",3,228,88,0,6,5.928571428571429
10573,Graduation,Single,62551.0,1,70,0,223,421,1,17,1.9285714285714286
3712,Graduation,Single,52332.0,1,"(60, 70]",0,305,259,1,11,4.5
6637,Graduation,Single,66951.0,1,"(30,40]",0,239,1117,0,14,3.2857142857142856
3152,Graduation,Relationship,26091.0,3,"(60, 70]",2,124,89,0,6,6.0
5610,Graduation,Relationship,33456.0,2,"(50, 60]",2,69,36,0,4,4.142857142857143
6460,Graduation,Relationship,28718.0,2,"(40,50]",1,351,57,0,5,5.571428571428571
1349,Graduation,Relationship,50447.0,1,"(50, 60]",2,69,148,0,7,0.2857142857142857
1880,PhD,Relationship,53537.0,2,"(60, 70]",2,150,93,0,6,1.2142857142857142
641,Graduation,Single,52074.0,1,"(50, 60]",1,86,119,1,6,5.5
8717,PhD,Relationship,80427.0,1,"(40,50]",1,655,1835,0,27,4.0
10314,PhD,Relationship,83837.0,1,70,0,560,1318,3,24,5.642857142857143
10854,PhD,Relationship,38853.0,2,"(50, 60]",2,37,45,0,5,6.428571428571429
10492,Graduation,Relationship,38285.0,1,"(60, 70]",3,5,10,0,3,6.857142857142857
6935,Master,Relationship,78497.0,1,70,0,210,978,1,24,3.142857142857143
7698,PhD,Relationship,51650.0,1,"(40,50]",1,49,191,0,9,5.785714285714286
3559,Master,Relationship,16248.0,3,"(30,40]",1,50,57,0,6,5.5
10562,Master,Relationship,66835.0,1,70,0,274,1033,0,23,1.5
10796,Master,Relationship,30477.0,1,"(30,40]",1,158,66,0,5,1.1428571428571428
2563,Basic,Relationship,28249.0,1,"(60, 70]",0,14,43,0,5,5.714285714285714
3518,Graduation,Relationship,25271.0,1,"(40,50]",1,571,50,0,4,3.2142857142857144
5823,PhD,Single,32303.0,2,"(50, 60]",1,113,39,0,5,4.5
3934,Graduation,Relationship,61286.0,2,"(50, 60]",1,331,608,0,16,2.4285714285714284
6982,Graduation,Relationship,74068.0,1,"(40,50]",0,467,1581,0,23,1.0
6431,PhD,Relationship,45759.0,2,"(50, 60]",2,491,68,0,5,0.9285714285714286
9733,Basic,Relationship,24882.0,1,"(40,50]",1,658,80,1,4,3.7142857142857144
5602,PhD,Relationship,66973.0,1,"(30,40]",0,408,1282,0,27,7.0
1324,Graduation,Relationship,38872.0,2,"(30,40]",1,395,91,0,6,6.642857142857143
326,Graduation,Relationship,51148.0,4,"(50, 60]",2,496,315,0,12,2.7142857142857144
7224,Graduation,Relationship,31353.0,2,"(40,50]",2,182,31,0,4,1.7142857142857142
6999,Master,Relationship,69661.0,1,"(40,50]",0,47,834,0,22,5.714285714285714
9938,Graduation,Relationship,80067.0,1,"(60, 70]",0,283,1600,1,16,5.857142857142857
6422,Graduation,Relationship,86718.0,1,"(60, 70]",0,528,1270,0,16,1.4285714285714286
3182,PhD,Single,46854.0,6,"(50, 60]",2,90,263,2,9,5.785714285714286
7300,Graduation,Single,69142.0,3,70,1,0,535,1,16,3.5714285714285716
10424,Graduation,Single,75922.0,1,"(50, 60]",0,202,1295,0,17,4.285714285714286
8727,Graduation,Single,63693.0,3,"(40,50]",1,258,1150,0,26,4.5
2798,PhD,Relationship,102160.0,0,"(40,50]",0,604,1240,4,26,3.857142857142857
1030,PhD,Single,40637.0,2,"(50, 60]",2,347,38,0,4,5.142857142857143
624,Master,Single,18890.0,1,"(30,40]",0,596,35,2,3,0.35714285714285715
5176,Graduation,Relationship,29604.0,1,"(30,40]",1,203,53,1,4,6.285714285714286
5552,Master,Single,48721.0,6,"(60, 70]",2,412,293,0,11,3.5714285714285716
868,Graduation,Relationship,44794.0,1,"(50, 60]",1,21,65,0,5,7.071428571428571
380,Graduation,Single,64497.0,5,"(60, 70]",1,657,1804,2,24,1.2142857142857142
2677,Graduation,Relationship,46097.0,5,"(60, 70]",1,455,241,0,10,0.7857142857142857
6521,Graduation,Relationship,77972.0,1,"(60, 70]",0,103,1101,0,19,1.2857142857142858
6927,PhD,Relationship,44377.0,8,"(50, 60]",2,632,264,0,11,5.0
2877,Master,Relationship,46014.0,10,"(40,50]",2,524,541,0,16,1.5
0,Graduation,Relationship,70951.0,1,"(30,40]",0,421,1198,0,16,4.714285714285714
1584,Graduation,Relationship,41443.0,6,"(40,50]",1,89,482,0,14,5.642857142857143
7264,Master,Single,52195.0,1,"(40,50]",3,48,17,0,3,0.14285714285714285
6274,Master,Relationship,83790.0,1,70,0,226,1615,2,24,5.785714285714286
1377,Master,Single,44551.0,2,"(60, 70]",1,302,285,0,10,1.7142857142857142
454,Graduation,Relationship,69508.0,2,"(40,50]",1,592,1135,0,26,3.4285714285714284
1755,Master,Relationship,45204.0,1,"(30,40]",1,79,114,0,6,6.642857142857143
2075,Graduation,Relationship,72460.0,1,"(50, 60]",0,227,1047,0,15,4.0
4785,PhD,Relationship,77622.0,2,"(50, 60]",2,76,714,0,20,0.21428571428571427
9076,PhD,Relationship,30732.0,4,"(40,50]",1,540,185,0,9,3.142857142857143
7079,Graduation,Single,63887.0,5,"(60, 70]",1,659,1245,0,27,2.7142857142857144
4653,Graduation,Relationship,42011.0,4,"(40,50]",1,460,189,0,8,3.2857142857142856
7375,Graduation,Relationship,51369.0,2,"(40,50]",1,612,576,0,14,6.0
709,Graduation,Single,51537.0,3,70,1,567,1103,0,15,1.9285714285714286
460,PhD,Relationship,79930.0,1,"(50, 60]",0,690,1753,0,16,5.142857142857143
3726,PhD,Relationship,34320.0,1,"(30,40]",1,133,17,0,3,4.714285714285714
6798,Graduation,Single,37070.0,9,"(50, 60]",2,466,433,1,14,2.142857142857143
5341,Master,Single,81975.0,1,"(60, 70]",1,540,1588,1,13,0.14285714285714285
1606,Graduation,Relationship,38590.0,1,"(50, 60]",1,410,22,0,3,4.642857142857143
9617,Graduation,Single,15033.0,1,70,0,74,19,0,4,2.642857142857143
3233,PhD,Relationship,62745.0,3,"(50, 60]",1,463,1117,0,26,6.357142857142857
89,Master,Relationship,22212.0,2,"(40,50]",1,202,69,0,6,3.5
2936,Master,Relationship,23661.0,1,"(40,50]",1,207,23,0,4,3.2857142857142856
9449,PhD,Single,79761.0,1,"(60, 70]",1,268,605,0,18,2.2857142857142856
7297,Graduation,Single,7500.0,4,"(50, 60]",1,185,57,0,7,3.857142857142857
313,Graduation,Single,73455.0,1,"(50, 60]",0,244,2088,1,21,7.0
9940,Graduation,Relationship,64961.0,2,"(60, 70]",1,553,1009,0,14,6.928571428571429
10735,Graduation,Single,22804.0,1,"(50, 60]",1,333,26,0,4,5.357142857142857
9529,Graduation,Relationship,73687.0,1,"(30,40]",0,213,1627,2,21,0.5714285714285714
6439,Graduation,Relationship,61074.0,7,"(60, 70]",1,681,1102,0,24,2.642857142857143
7411,PhD,Relationship,31686.0,2,"(50, 60]",2,24,17,0,4,2.2142857142857144
2176,Graduation,Relationship,80134.0,2,"(50, 60]",1,405,1690,4,14,2.857142857142857
9265,Graduation,Relationship,75027.0,2,70,1,536,1390,0,19,5.285714285714286
8867,PhD,Relationship,67546.0,1,"(30,40]",0,667,2126,0,19,6.428571428571429
8932,Master,Relationship,65176.0,4,"(50, 60]",1,608,1531,0,21,4.071428571428571
10236,Master,Single,31160.0,2,"(40,50]",1,286,64,0,5,4.214285714285714
6340,Graduation,Single,29938.0,2,"(30,40]",1,245,26,0,4,3.7142857142857144
10089,Graduation,Single,102692.0,1,"(40,50]",0,450,1112,5,28,0.35714285714285715
2227,Master,Relationship,26490.0,2,"(60, 70]",0,645,210,0,9,6.571428571428571
10992,Graduation,Relationship,75702.0,5,"(50, 60]",2,669,1148,0,21,5.5
5304,PhD,Single,30899.0,2,"(40,50]",1,624,33,0,4,2.5
309,PhD,Relationship,63342.0,3,"(60, 70]",1,621,1101,1,16,3.4285714285714284
3406,Graduation,Single,45989.0,4,"(50, 60]",1,615,322,0,12,6.928571428571429
2661,Graduation,Single,18701.0,4,"(50, 60]",2,390,44,0,6,6.785714285714286
3153,PhD,Single,40737.0,1,"(60, 70]",3,203,17,0,3,1.7142857142857142
10264,Graduation,Single,15287.0,2,"(40,50]",1,627,31,2,4,4.285714285714286
1184,PhD,Single,69674.0,3,"(50, 60]",2,403,845,0,22,3.2857142857142856
4200,Master,Relationship,44159.0,4,"(50, 60]",1,12,275,0,11,6.071428571428571
9396,PhD,Relationship,37717.0,1,"(40,50]",1,583,25,0,3,2.2142857142857144
2387,Master,Relationship,43776.0,6,70,2,511,275,1,11,0.6428571428571429
6690,Master,Relationship,38179.0,4,"(50, 60]",2,472,90,0,7,2.142857142857143
1225,Graduation,Relationship,80124.0,1,"(60, 70]",0,3,1495,1,18,3.357142857142857
9703,PhD,Relationship,38097.0,4,"(50, 60]",2,622,184,2,7,5.0
291,Graduation,Relationship,72940.0,1,"(50, 60]",0,375,981,0,12,0.9285714285714286
4557,Graduation,Relationship,22070.0,2,"(50, 60]",1,268,67,0,6,0.7857142857142857
2379,Graduation,Single,69267.0,2,70,0,645,1635,1,12,2.2142857142857144
5726,Master,Single,31788.0,3,"(40,50]",1,101,60,0,7,1.0714285714285714
3066,PhD,Relationship,61905.0,2,"(40,50]",1,145,231,0,10,0.14285714285714285
6336,Graduation,Relationship,29315.0,4,"(60, 70]",2,84,48,0,6,3.9285714285714284
10967,Graduation,Single,33378.0,3,"(60, 70]",2,508,99,0,6,2.7142857142857144
2304,PhD,Relationship,66313.0,2,"(60, 70]",1,286,770,0,21,6.142857142857143
3445,Graduation,Single,60714.0,2,"(60, 70]",0,528,957,1,21,4.0
7828,Master,Relationship,77882.0,1,"(40,50]",0,60,818,0,11,2.0714285714285716
3762,PhD,Single,69867.0,1,"(30,40]",0,453,925,2,16,2.142857142857143
4391,Master,Single,63841.0,1,"(50, 60]",1,434,908,0,21,4.571428571428571
4669,Basic,Relationship,24480.0,3,"(40,50]",1,503,102,0,7,3.2857142857142856
10144,Graduation,Relationship,51369.0,2,"(40,50]",1,612,576,0,14,6.0
8652,Graduation,Relationship,37760.0,2,70,0,667,317,0,11,1.4285714285714286
1672,PhD,Relationship,65640.0,1,"(40,50]",1,120,461,0,14,5.285714285714286
8962,Master,Relationship,44319.0,2,"(40,50]",2,73,37,0,5,1.2857142857142858
9974,Graduation,Relationship,30631.0,1,"(40,50]",1,352,70,0,6,5.357142857142857
10983,Graduation,Relationship,75278.0,1,70,0,516,930,0,22,1.2142857142857142
8148,Master,Relationship,50898.0,13,"(60, 70]",2,537,859,0,20,6.285714285714286
10102,Graduation,Single,79946.0,1,"(50, 60]",0,48,1478,0,21,1.3571428571428572
4697,Master,Single,35416.0,3,70,0,381,390,0,13,4.428571428571429
9262,Master,Relationship,32414.0,1,"(30,40]",0,360,52,1,4,0.7857142857142857
7254,Graduation,Relationship,38361.0,3,"(50, 60]",1,184,137,0,7,5.285714285714286
4543,Graduation,Relationship,82497.0,1,"(40,50]",0,606,1919,1,18,2.2857142857142856
4927,Graduation,Relationship,16626.0,3,"(50, 60]",2,165,68,0,6,5.428571428571429
10451,Graduation,Relationship,29672.0,1,"(50, 60]",2,474,25,0,3,0.42857142857142855
2926,Master,Relationship,55951.0,3,70,1,675,1374,2,20,4.428571428571429
2874,Master,Single,35388.0,1,"(30,40]",1,479,32,0,4,1.4285714285714286
9738,Master,Relationship,42386.0,1,"(30,40]",1,532,100,0,6,3.0714285714285716
7119,Graduation,Single,68627.0,1,"(40,50]",0,533,825,0,11,3.2142857142857144
3924,PhD,Single,57912.0,5,"(50, 60]",1,104,916,1,23,2.4285714285714284
5827,Graduation,Single,35246.0,4,"(60, 70]",2,74,62,0,7,3.7857142857142856
5596,Master,Relationship,58821.0,1,"(60, 70]",1,260,728,0,20,3.142857142857143
10812,PhD,Relationship,46377.0,1,"(40,50]",1,120,90,0,6,6.357142857142857
1717,Graduation,Single,39747.0,3,"(30,40]",1,77,273,0,10,3.0714285714285716
9491,Graduation,Relationship,23976.0,3,"(30,40]",1,184,66,0,7,4.857142857142857
9274,Master,Relationship,80950.0,1,"(60, 70]",0,458,1213,1,22,3.142857142857143
6609,Graduation,Single,27038.0,1,"(50, 60]",0,649,107,1,6,4.571428571428571
6963,Graduation,Single,77457.0,1,70,0,116,1157,1,17,6.071428571428571
4440,Master,Relationship,64100.0,1,"(50, 60]",1,292,546,1,17,6.642857142857143
1379,Master,Relationship,42670.0,1,"(30,40]",0,428,241,0,10,0.8571428571428571
10032,Graduation,Single,12571.0,4,"(40,50]",1,162,53,0,7,6.142857142857143
2826,Graduation,Relationship,22574.0,2,"(50, 60]",3,244,37,0,5,2.0
2437,Graduation,Relationship,52720.37365591398,1,"(30,40]",0,391,1611,2,23,4.928571428571429
6320,Master,Single,70893.0,1,"(40,50]",0,508,1508,0,22,3.0
3050,Graduation,Relationship,54198.0,6,"(50, 60]",2,194,235,0,10,0.9285714285714286
231,Master,Relationship,28839.0,2,"(60, 70]",2,110,32,0,5,6.142857142857143
2392,Graduation,Relationship,40321.0,2,"(50, 60]",2,335,102,0,6,4.214285714285714
9478,Graduation,Single,66503.0,2,"(30,40]",1,684,401,0,13,2.142857142857143
113,Graduation,Relationship,30833.0,2,70,2,348,28,0,4,2.357142857142857
2863,Graduation,Single,52720.37365591398,6,"(50, 60]",3,310,1052,2,15,4.785714285714286
